company_id,company_name,industry,description,source,website,place_id
62,Huckleberry Square,"restaurant, point_of_interest, food, establishment",,google_places,http://www.huckleberrysquare.com/,ChIJT-fpc4FEkFQRe0XL6lb5Mlo
64,El Gaucho Bellevue,"restaurant, point_of_interest, food, establishment",,google_places,https://elgaucho.com/bellevue/,ChIJFYxSVohskFQRC6AH1xscYJY
65,Andare Kitchen & Bar,"restaurant, point_of_interest, food, establishment",,google_places,https://www.hyatt.com/en-US/hotel/washington/hyatt-regency-seattle/sears/dining,ChIJ3c88zo0VkFQRPj6JIWaYzfA
67,Metropolitan Grill,"bar, restaurant, point_of_interest, food, establishment",,google_places,http://themetropolitangrill.com/,ChIJPf-9ULBqkFQRSBVLYMR_ONQ
671,Sweet Dahlia Baking,"bakery, cafe, restaurant, food, point_of_interest, store, establishment","9720 Coppertop Loop NE #103, Bainbridge Island, WA 98110, USA",google_places,https://www.sweetdahliabaking.com/,ChIJC3j3TyI8kFQReT0KETMORj0
676,Bank of America Financial Center,"bank, finance, point_of_interest, establishment","15600 NE 8th St Suite A9, Bellevue, WA 98008, USA",google_places,https://locators.bankofamerica.com/wa/bellevue/financial-centers-bellevue-16666.html?utm_source=GMBlisting&utm_medium=organic,ChIJz_B3r7ptkFQRdOqxLyeWD_w
678,Wells Fargo Bank,"bank, atm, finance, point_of_interest, establishment","12516 Totem Lake Blvd NE Bldg L, Kirkland, WA 98034, USA",google_places,https://www.wellsfargo.com/locator/bank/12516__TOTEM__LAKE__BLVD__NE__BLDG__L_KIRKLAND_WA_98034/?utm_campaign=Local_Listings&utm_source=Google&group=Community_Bank&loc=WF01714,ChIJo6dLP4QNkFQRU-bJGhY_BiQ
680,Banner Bank,"bank, finance, point_of_interest, establishment","1222 E Madison St Suite A, Seattle, WA 98122, USA",google_places,https://locations.bannerbank.com/wa/seattle/1222-e-madison-st?utm_medium=local-search&utm_source=google-my-business&y_source=1_ODQzOTYwMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,ChIJhcThcclqkFQRHhfqleOr2X4
683,Pike Place Bar & Grill,"bar, restaurant, point_of_interest, food, establishment","90 Pike St, Seattle, WA 98101, USA",google_places,https://www.eatatpikeplace.com/,ChIJWalY97JqkFQR03-hwcBDefo
687,520 Bar & Grill,"bar, restaurant, point_of_interest, food, establishment","10146 Main St, Bellevue, WA 98004, USA",google_places,http://www.520barandgrill.com/,ChIJhY1xAn5skFQR740cPn2c5Kc
690,Lucky 7 Bar and Grill,"bar, restaurant, point_of_interest, food, establishment","12715 NE 124th St, Kirkland, WA 98034, USA",google_places,http://www.lucky7kirkland.com/,ChIJ16ynw4INkFQRZWc3667NsfE
694,Earls Kitchen + Bar,"restaurant, night_club, bar, point_of_interest, food, establishment","700 Bellevue Way NE Unit 130, Bellevue, WA 98004, USA",google_places,https://www.earls.ca/locations/bellevue,ChIJkTtnrYhskFQRuAW_QTilgLQ
699,Collins Pub,"bar, restaurant, point_of_interest, food, establishment","526 2nd Ave, Seattle, WA 98104, USA",google_places,http://www.collinspubseattle.com/,ChIJWVuUkLpqkFQRjAp4gthzzdo
703,Hillside Bar,"bar, point_of_interest, establishment","1520 E Olive Wy, Seattle, WA 98122, USA",google_places,https://hillsidebar.com/,ChIJT9XXcDMVkFQRqiH0RHvDCIE
706,Blarney Stone Pub,"bar, restaurant, point_of_interest, food, establishment","1416 1st Ave, Seattle, WA 98101, USA",google_places,https://blarneystoneseattle.com/,ChIJHT8jULJqkFQRbWUzOe5ZHHk
707,re:public,"bar, restaurant, point_of_interest, food, establishment","429 Westlake Ave N, Seattle, WA 98109, USA",google_places,http://www.republicseattle.com/,ChIJZ7vyKjgVkFQR5znRuHMGFxg
709,Boxcar Ale House,"bar, night_club, restaurant, point_of_interest, food, establishment","3407 Gilman Ave W, Seattle, WA 98199, USA",google_places,https://m.facebook.com/The-Boxcar-Ale-House-121355571211217/,ChIJu5v9U5gVkFQRbqxFLxfo2J0
715,Greenlake Bar & Grill,"bar, restaurant, point_of_interest, food, establishment","7200 East Green Lake Dr N, Seattle, WA 98115, USA",google_places,https://neighborhoodgrills.com/,ChIJEZ4GIG0UkFQR7PTWzWPbIuE
719,13th Ave Pub & Eatery,"liquor_store, bar, restaurant, food, store, point_of_interest, establishment","1233 164th St SW Suite J, Lynnwood, WA 98087, USA",google_places,http://13thavepub.com/,ChIJm7I7JsgFkFQRP2yX_piQLuY
723,Cairde Public House Bar & Restaurant,"bar, night_club, restaurant, food, point_of_interest, establishment","701 5th Ave N #100, Seattle, WA 98109, USA",google_places,https://www.cphbarseattle.com/,ChIJ71wqZP0VkFQR20NNqYyj7SE
726,Thrasher's Corner Sports Pub,"night_club, bar, restaurant, food, point_of_interest, establishment","20805 Bothell Everett Hwy, Bothell, WA 98021, USA",google_places,http://thrasherspubbothell.com/,ChIJdawae2sPkFQRJUlEPE6rGtw
728,Daman's Bar and Grill,"bar, restaurant, food, point_of_interest, establishment","14810 NE 24th St, Redmond, WA 98052, USA",google_places,https://damansbarandgrill.com/,ChIJK9Qm_whtkFQRCgv8vnve2ss
732,Rookies Sports Bar and Grill,"bar, restaurant, food, point_of_interest, establishment","3820 S Ferdinand St, Seattle, WA 98118, USA",google_places,https://www.rookiesseattle.com/,ChIJsbwagA5qkFQRqyybGMmg57s
926,CAFFE COCINA COFFEE ROASTING CO.,"cafe, food, store, point_of_interest, establishment","18990 Front St NE, Poulsbo, WA 98370, USA",google_places,http://www.caffecocina.com/,ChIJtWpWxmYjkFQRi6nMFWXPjso
930,Johnny Coffee,"cafe, food, store, point_of_interest, establishment","11199 Pacific Crest Pl D-139, Silverdale, WA 98383, USA",google_places,http://www.drinkjohnnycoffee.com/,ChIJj-ZNzwM7kFQRu2VPkBLFq7Y
932,Cups Espresso & Cafe,"cafe, restaurant, food, store, point_of_interest, establishment","123 Bjune Dr SE STE 105, Bainbridge Island, WA 98110, USA",google_places,http://www.cupsespresso.com/,ChIJEZnj4LY-kFQRfiRLF8khCYM
936,Alan's Country Cafe,"cafe, restaurant, food, store, point_of_interest, establishment","4800 Jackson Ave SE STE 101, Port Orchard, WA 98366, USA",google_places,https://alanscountrycafe.square.site/s/order,ChIJkQJu2ctJkFQRVu4mVM93h9A
